silah_ismi,skin_ismi,nadirliği,koleksiyonu,kalitesi,fiyatı
AWP,Lightning Strike,Covert,The Arms Deal Collection,Factory New,727.52
AWP,Lightning Strike,Covert,The Arms Deal Collection,Minimal Wear,717.11
Desert Eagle,Hypnotic,Classified,The Arms Deal Collection,Factory New,112.19
Desert Eagle,Hypnotic,Classified,The Arms Deal Collection,Minimal Wear,113.42
Desert Eagle,Hypnotic,Classified,The Arms Deal Collection,StatTrak™Factory New,174.89
Desert Eagle,Hypnotic,Classified,The Arms Deal Collection,StatTrak™Minimal Wear,178.25
AK-47,Case Hardened,Classified,The Arms Deal Collection,Factory New,508.26
AK-47,Case Hardened,Classified,The Arms Deal Collection,Minimal Wear,473.24
AK-47,Case Hardened,Classified,The Arms Deal Collection,Field-Tested,284.48
AK-47,Case Hardened,Classified,The Arms Deal Collection,Well-Worn,228.71
AK-47,Case Hardened,Classified,The Arms Deal Collection,Battle-Scarred,238.75
AK-47,Case Hardened,Classified,The Arms Deal Collection,StatTrak™Factory New,910.37
AK-47,Case Hardened,Classified,The Arms Deal Collection,StatTrak™Minimal Wear,727.02
AK-47,Case Hardened,Classified,The Arms Deal Collection,StatTrak™Field-Tested,525.0
AK-47,Case Hardened,Classified,The Arms Deal Collection,StatTrak™Well-Worn,434.66
AK-47,Case Hardened,Classified,The Arms Deal Collection,StatTrak™Battle-Scarred,389.55
Glock-18,Dragon Tattoo,Restricted,The Arms Deal Collection,Factory New,138.0
Glock-18,Dragon Tattoo,Restricted,The Arms Deal Collection,Minimal Wear,120.0
Glock-18,Dragon Tattoo,Restricted,The Arms Deal Collection,StatTrak™Factory New,523.99
Glock-18,Dragon Tattoo,Restricted,The Arms Deal Collection,StatTrak™Minimal Wear,279.96
USP-S,Dark Water,Restricted,The Arms Deal Collection,Minimal Wear,107.34
USP-S,Dark Water,Restricted,The Arms Deal Collection,Field-Tested,95.0
USP-S,Dark Water,Restricted,The Arms Deal Collection,StatTrak™Minimal Wear,160.71
USP-S,Dark Water,Restricted,The Arms Deal Collection,StatTrak™Field-Tested,124.48
M4A1-S,Dark Water,Restricted,The Arms Deal Collection,Minimal Wear,109.13
M4A1-S,Dark Water,Restricted,The Arms Deal Collection,Field-Tested,104.56
M4A1-S,Dark Water,Restricted,The Arms Deal Collection,StatTrak™Minimal Wear,165.03
M4A1-S,Dark Water,Restricted,The Arms Deal Collection,StatTrak™Field-Tested,134.55
AUG,Wings,Mil-spec,The Arms Deal Collection,Factory New,33.19
AUG,Wings,Mil-spec,The Arms Deal Collection,Minimal Wear,31.62
AUG,Wings,Mil-spec,The Arms Deal Collection,StatTrak™Factory New,25.94
AUG,Wings,Mil-spec,The Arms Deal Collection,StatTrak™Minimal Wear,32.89
SG 553,Ultraviolet,Mil-spec,The Arms Deal Collection,Factory New,49.97
SG 553,Ultraviolet,Mil-spec,The Arms Deal Collection,Minimal Wear,33.27
SG 553,Ultraviolet,Mil-spec,The Arms Deal Collection,Field-Tested,32.2
